subject,field,value,source,observed,confidence,note,license
balboastraat-19,key_photo,PicturesOriginal/IMG_0736.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
balboastraat-19,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
balboastraat-19,photo_heading,220.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
balthasar-floriszstraat-10,coordinate,"52.3531667,4.8848333",photos-2009,2009-10-13,0.9,"own GPS, DOP 1.0, camera bearing 139.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
balthasar-floriszstraat-10,key_photo,PicturesOriginal/IMG_0565.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
balthasar-floriszstraat-10,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
balthasar-floriszstraat-10,photo_heading,139.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
barentszstraat-130,coordinate,"52.389,4.8875",photos-2009,2009-10-15,0.9,"own GPS, DOP 3.0, camera bearing 37.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
barentszstraat-130,key_photo,PicturesOriginal/IMG_0963.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
barentszstraat-130,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
barentszstraat-130,photo_heading,37.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
beursstraat-27,coordinate,"52.3748333,4.8963333",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 199.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
beursstraat-27,key_photo,PicturesOriginal/IMG_1264.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
beursstraat-27,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
beursstraat-27,photo_heading,199.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
binnen-oranjestraat-9,coordinate,"52.3821667,4.887",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 65.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
